Park,Name,ShortName,Unit Code,Park Type,Region,State,Year,Date,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude,Summer,Autumn,Winter,Spring
Big Bend NP,Big Bend National Park,Big Bend,BIBE,National Park,Intermountain,TX,2016,Jan 1 2016,36716,5075,3755,3674,29.25,-103.25,50939,90655,113839,132857
Big Bend NP,Big Bend National Park,Big Bend,BIBE,National Park,Intermountain,TX,2017,Jan 1 2017,35105,6785,6226,4717,29.25,-103.25,60481,100567,117839,161389
Big Bend NP,Big Bend National Park,Big Bend,BIBE,National Park,Intermountain,TX,2018,Jan 1 2018,33434,5045,6263,3402,29.25,-103.25,56646,104170,118931,160344
Big Bend NP,Big Bend National Park,Big Bend,BIBE,National Park,Intermountain,TX,2019,Jan 1 2019,29318,159,403,422,29.25,-103.25,60213,114658,118412,170549
Big Bend NP,Big Bend National Park,Big Bend,BIBE,National Park,Intermountain,TX,2020,Jan 1 2020,43740,6561,7850,2992,29.25,-103.25,37595,140261,154638,61413
Big Bend NP,Big Bend National Park,Big Bend,BIBE,National Park,Intermountain,TX,2021,Jan 1 2021,50298,8887,3968,3850,29.25,-103.25,81061,138268,151282,210609
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2012,Jan 1 2012,29877,742,0,0,25.65,-80.08,161536,100185,88783,145109
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2013,Jan 1 2013,33790,326,0,0,25.65,-80.08,164875,100763,88316,132894
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2014,Jan 1 2014,30437,324,0,0,25.65,-80.08,181388,103049,104693,136615
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2015,Jan 1 2015,34409,366,0,0,25.65,-80.08,164040,93413,88774,161937
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2016,Jan 1 2016,35755,206,0,0,25.65,-80.08,161755,102453,95156,155345
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2017,Jan 1 2017,30661,308,0,0,25.65,-80.08,152860,60128,100658,133315
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2018,Jan 1 2018,27638,346,0,0,25.65,-80.08,153637,95817,95356,124443
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2019,Jan 1 2019,50873,4,0,0,25.65,-80.08,171603,145253,171030,220636
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2020,Jan 1 2020,79041,78,0,0,25.65,-80.08,95832,58524,191312,57102
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,2021,Jan 1 2021,59970,300,0,0,25.65,-80.08,153095,152273,186408,213879
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2012,Jan 1 2012,509,6,0,0,38.57,-107.72,105175,43787,5079,38529
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2013,Jan 1 2013,4046,0,17,4,38.57,-107.72,92216,33030,11594,39012
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2014,Jan 1 2014,3469,6,0,0,38.57,-107.72,96501,43145,11179,32220
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2015,Jan 1 2015,4600,8,0,0,38.57,-107.72,105666,52054,13406,38040
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2016,Jan 1 2016,5510,19,3,0,38.57,-107.72,115846,66237,15159,40776
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2017,Jan 1 2017,6925,19,8,0,38.57,-107.72,125936,120222,13328,47657
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2018,Jan 1 2018,7600,8,11,0,38.57,-107.72,133779,90651,16563,67969
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2019,Jan 1 2019,4921,3,0,0,38.57,-107.72,206703,96932,16728,112455
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2020,Jan 1 2020,8107,3,14,0,38.57,-107.72,147201,119245,23546,51628
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,2021,Jan 1 2021,8759,25,47,0,38.57,-107.72,148907,79997,23882,56124
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2012,Jan 1 2012,16265,67,62,3,37.57,-112.18,630671,401634,57415,295632
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2013,Jan 1 2013,15788,55,14,6,37.57,-112.18,643881,306497,56677,304820
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2014,Jan 1 2014,18006,77,67,0,37.57,-112.18,662175,393163,68749,311654
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2015,Jan 1 2015,21949,86,182,17,37.57,-112.18,819928,454579,86407,384890
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2016,Jan 1 2016,24285,175,89,0,37.57,-112.18,1130482,615341,97140,522147
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2017,Jan 1 2017,27774,26,252,7,37.57,-112.18,1197358,698465,109766,566095
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,2018,Jan 1 2018,32433,372,158,22,37.57,-112.18,1233308,711806,113527,620837
